priority,company,status,next_action
1,M247,draft_staged,send once after explicit approval then verify Gmail Sent
2,Atlas Cloud,draft_staged,send once after explicit approval then verify Gmail Sent
3,Blue Frontier,draft_staged,send once after explicit approval then verify Gmail Sent
4,KHIPU Networks,draft_staged,send once after explicit approval then verify Gmail Sent
5,DSI Ltd,draft_staged,send once after explicit approval then verify Gmail Sent
6,ADM Computing,draft_staged,send once after explicit approval then verify Gmail Sent
7,System Force IT,draft_staged,send once after explicit approval then verify Gmail Sent
8,Foresight IT Services,draft_staged,send once after explicit approval then verify Gmail Sent
9,AJT Managed IT Services,draft_staged,send once after explicit approval then verify Gmail Sent
10,Inology IT,draft_staged,send once after explicit approval then verify Gmail Sent
