company,website,priority,target_roles,evidence,source_url,status,company_number,matched_token,sic
Proteus-Cyber Ltd,https://proteuscyber.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/07239733,sourced_candidate_unqualified,07239733,cyber,62020
Cyber Sheku Limited,https://cybersheku.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/11829605,sourced_candidate_unqualified,11829605,cyber,62020
Cyber Security (N.I.) Ltd,https://cybersecurityni.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/NI647179,sourced_candidate_unqualified,NI647179,cyber,62020
Cyber Security Specialists Limited,https://cybersecurityspecialists.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/09563339,sourced_candidate_unqualified,09563339,cyber,62020
E2E-Cyber Limited,https://e2ecyber.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service",https://find-and-update.company-information.service.gov.uk/company/08732949,sourced_candidate_unqualified,08732949,cyber,62020
Ascent Cyber Ltd,https://ascentcyber.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/SC628336,sourced_candidate_unqualified,SC628336,cyber,62020
Global Cyber Consultants Ltd,https://globalcyberconsultants.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service",https://find-and-update.company-information.service.gov.uk/company/11229097,sourced_candidate_unqualified,11229097,cyber,62020
Cyber Leader Ltd,https://cyberleader.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service",https://find-and-update.company-information.service.gov.uk/company/11326898,sourced_candidate_unqualified,11326898,cyber,62020
Secure Cyber Ltd,https://securecyber.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/12287409,sourced_candidate_unqualified,12287409,cyber,62020
Secure Cyber Solutions Limited,https://securecybersolutions.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/10325687,sourced_candidate_unqualified,10325687,cyber,62020
Cyber Distribution Ltd,https://cyberdistribution.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/11246527,sourced_candidate_unqualified,11246527,cyber,62020
Cyber Sharp I.T Limited,https://cybersharpit.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/10653984,sourced_candidate_unqualified,10653984,cyber,62020
Cyber-Duck Limited,https://cyberduck.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service",https://find-and-update.company-information.service.gov.uk/company/04356226,sourced_candidate_unqualified,04356226,cyber,62020
Cambridge Cyber Limited,https://cambridgecyber.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/10181626,sourced_candidate_unqualified,10181626,cyber,62020
One Brightly Cyber Ltd,https://onebrightlycyber.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/11736822,sourced_candidate_unqualified,11736822,cyber,62090
Cyber Chain Alliance Ltd,https://cyberchainalliance.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/11706569,sourced_candidate_unqualified,11706569,cyber,62090
Smart Cyber Cafe Ltd,https://smartcybercafe.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service",https://find-and-update.company-information.service.gov.uk/company/08772423,sourced_candidate_unqualified,08772423,cyber,62090
Cyber Resilience Consulting Ltd,https://cyberresilienceconsulting.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service",https://find-and-update.company-information.service.gov.uk/company/10250473,sourced_candidate_unqualified,10250473,cyber,62090
Quorum Cyber Security Limited,https://quorumcybersecurity.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/SC510322,sourced_candidate_unqualified,SC510322,cyber,62090
Cyber Defence Alliance Limited,https://cyberdefencealliance.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/09899234,sourced_candidate_unqualified,09899234,cyber,62090
It Help Support Limited,https://ithelpsupport.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service",https://find-and-update.company-information.service.gov.uk/company/09345042,sourced_candidate_unqualified,09345042,it+support,62020
It Biz Support Limited,https://itbizsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/08845673,sourced_candidate_unqualified,08845673,it+support,62020
Dragon It Support Limited,https://dragonitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/06794018,sourced_candidate_unqualified,06794018,it+support,62020
It Support North West Limited,https://itsupportnorthwest.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/08613627,sourced_candidate_unqualified,08613627,it+support,62020
Smart Computers It Support Limited,https://smartcomputersitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/10074950,sourced_candidate_unqualified,10074950,it+support,62020
Hero It Support Ltd,https://heroitsupport.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service",https://find-and-update.company-information.service.gov.uk/company/05685764,sourced_candidate_unqualified,05685764,it+support,62020
Dovetail It Support Limited,https://dovetailitsupport.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/09860629,sourced_candidate_unqualified,09860629,it+support,62020
Quest It Support Limited,https://questitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/SC516437,sourced_candidate_unqualified,SC516437,it+support,62020
Rapid It Support Ltd,https://rapiditsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/11853245,sourced_candidate_unqualified,11853245,it+support,62020
Urban It Support Ltd,https://urbanitsupport.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/07948984,sourced_candidate_unqualified,07948984,it+support,62020
Kings Lynn It Support Ltd,https://kingslynnitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/08233866,sourced_candidate_unqualified,08233866,it+support,62020
One Stop It Support Ltd,https://onestopitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/11735790,sourced_candidate_unqualified,11735790,it+support,62020
North London It Support Ltd,https://northlondonitsupport.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/07231060,sourced_candidate_unqualified,07231060,it+support,62020
It Support 365 Ltd,https://itsupport365.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/06678853,sourced_candidate_unqualified,06678853,it+support,62020
Re It Support Limited,https://reitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/04892198,sourced_candidate_unqualified,04892198,it+support,62090
Oxon It Support Ltd,https://oxonitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/07463868,sourced_candidate_unqualified,07463868,it+support,62090
It Support Berkshire Limited,https://itsupportberkshire.com,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/07858650,sourced_candidate_unqualified,07858650,it+support,62090
E-Volve It Support Limited,https://evolveitsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/08726677,sourced_candidate_unqualified,08726677,it+support,62090
Chelmer It Support Ltd,https://chelmeritsupport.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/07808188,sourced_candidate_unqualified,07808188,it+support,62090
Managed It Experts Ltd,https://manageditexperts.co.uk,B,Founder / MD / Commercial leader,"observed on homepage: acquisition_route, delivery_proof, managed_service, uk_presence",https://find-and-update.company-information.service.gov.uk/company/SC348738,sourced_candidate_unqualified,SC348738,managed+it,62020
