company_number,domain,arm,assignment_key
01923854,genesisit.co.uk,baseline,d85c5efbec67a0d3ad02239200064be9a60f613a7bfb18a453ffb4fff51e4220
02059640,logic-ltd.co.uk,candidate,6fa2ea52d05abc79eaa695d728f550c50db9206209e14f7b41b444034333ffbb
02234380,eccomputers.co.uk,candidate,1b91f8cd85ffd93ac1ec4ee985ca4892d9fd113182e9e8f1e0fc13f508a8489f
02799021,carecomputers.co.uk,candidate,86dd76d522e3ed1316015456dc21a04f5c55c5a70bc22a25c13f8b0b776f4307
03500039,inventas.co.uk,baseline,fd7334955ea805fc3a89e8800f2917fe5103a3d8207eebd6358272ee4d018bd1
03623613,lucidgrp.co.uk,candidate,9378b02d4d036b6484eb3504a2848816fa014ad9b0db00801a0226ad826da434
03754929,bcns.co.uk,baseline,c35e969de49133d129a4bec4f10ddcb036589378790b7a9f3ce3005808f4e03e
03788567,seconcyber.com,baseline,e8a99c59fbf9c9b80105edfd2af193d0012f5e496217ee7204ed7bfa303a6e4a
04105259,internetworkmedia.co.uk,candidate,46c89cf0aad7e04660ebc794f4822506b175ff79d6874003ca49c329a84aa474
04346440,lifelineit.net,baseline,f09666d61630aa9cbe132262e49f9b1a27f9caf9fb0e6e8cdf33d09c374e1c04
04581730,afinite.co.uk,candidate,90550a5358842c80579a5d0412107fa98e6f85653d9c764c379b874e9f602473
04697183,confidenceit.co.uk,baseline,defcf6feca2be71ff7e8f5ed04e5be7d1e1c2cf4590b6968ac1cf7481006ee97
04798672,info-sol.co.uk,baseline,b63097b339f0feea977f117856aeba476684b532e772466d3abb0870010b9a4a
05370595,concept-its.co.uk,candidate,3ba906052a7705cac890910094496caaec30cbf1bd14f96e0126aa413d30cbdd
05401087,breakwaterit.co.uk,candidate,54c2eaf657a7dd0d56ad5d80c209e7e10668f92ff339c6beacd8733cef416262
05416115,ilkleyitservices.co.uk,baseline,ead0ecbb1bd44217407c5c586374253b90871e3e5ebb70e1f3818ffa19fd942b
05589373,munio-it.co.uk,candidate,8a735b4cc1f1b2ac3f6a87ae5ac18eb5f0ff1d1f3eca768d8dfb5a7b28ffb2bd
05994636,ec2it.co.uk,baseline,bf0e9cdbbeb4cf3503b9c1e1a4e66692b356cf0d0704ed2ad6f81a407028a947
06614786,comprendo.co.uk,baseline,f9cdf1aabca02fa264dbec044007aa39441c660cbaa51633b17c7a7e28cb7f86
06619540,everon.co.uk,baseline,c369b2f069f9f7a538683544740ddc3ad59781cb5afc60bab6766a4e7e88ca2f
06670422,coordinate-it.co.uk,candidate,1483841099f5ed35d36483cbb22a5594f90b57c2c0199cbde722ac21dcf78e58
06698867,integrityoffice.co.uk,candidate,71d363da35448f529ee0ed6c1995bb4179897bd076fb4e26c7103a6fef199457
06790995,dynamicnetworksgroup.co.uk,baseline,d46f8da4f4956ab22a6a39f08ceda1d9e4fe8a8d42a405bab9b2249d0f3c8b0f
06847794,itally.co.uk,baseline,ed5ce0c40762191bcaef68ed0f6e90555ce171724cb62ad97c9b631e46c63103
07003640,getsupport.co.uk,candidate,7f8fd1678ec20f9b9d32542e34343631a9ae53817f51e4efe225b51f9ba829dc
07019261,managed.co.uk,candidate,73c5d9d09c8856d5e367c287132ca8ef67a0796263840a21fd5a39a05ff5d9a8
07088567,iqinit.uk,candidate,3408196601d175e90058a2af6d66a6a40624b4b1933172b7eba0283388afc95e
07110528,comistechnology.co.uk,candidate,5022d272544307fd33562e20e81d12d462c33e25d49a8765aed53c22c82017e5
07174303,inflectionpoint.uk,candidate,35d87bb5452e801015fc1cb399663dba9468acfb3732111fce054407f06ea72b
07195974,itsupport-uk.com,candidate,87b1b4057d857515fc808abbca18b212bb4de3a818d354cf1a8f3f5f2c010c83
07415810,integritytechnology.co.uk,candidate,708aa256cb4a14f429a400086773ab4670c954d9af86c7893ec86c1acdfc00d1
07550944,dialageek.co.uk,candidate,22aadea60d57a8cb3bd7d57c410d79e0b92db251085c2f107ecdd2d0c60b1236
07598261,jamcrackers.co.uk,candidate,a4de00887b9762a286f70ffa5236bf8d588826f6b9a6ef4c4c274fd7b45ddb22
07669403,lanet.co.uk,candidate,94b2e157cf22648b0a1f8fbb477ec52f3451fa730648314c168f118be1d07a44
07825941,aztek.co.uk,candidate,5e2c99d86b49549ed0eb683e85c708e8c115f6cce4d70d6d7d0197d550aeafd7
08052781,intouchtech.co.uk,candidate,92ee4c2d9b0564df5ca14067de5843ce6a7d27951e6fffdff339f2867a983832
08142733,linkict.co.uk,baseline,a90c40def77e8e4b4b61f0d0fa0561ceb315d9138b38466e26103c9589a364a4
08176691,mbsit.co.uk,baseline,f412080767b14867c8264af73dabfc46feb48623410cbbfe290e12942012fc8e
08306825,galactech.co.uk,baseline,f1e44fdced3f09c7d5bc786a52c878bfe8c7d7ff9225f9e2e294d2f724cc9bf2
08385347,lbtechsolutions.co.uk,baseline,c156945e3886a51c638025278d7cb6e187f1c93b07939a1729d3cac2749a5d0d
08606399,masoninfotech.co.uk,baseline,cb5d7cbc4e17c23911092f7d56f7d4cd24bfc33d3d78e38af3e40751f4cde3fe
08636719,circlecloud.co.uk,baseline,c8f179367d8fbea1ff725ffa9df1e5932a7057ca35703d64fd09f26f5d235054
08642501,mark1its.co.uk,candidate,3430b59ee4ffbc111590f2de5581b6ab21817e6b0ccc976327c1f822f3c0432b
08754226,altiatech.com,baseline,cc6742ae331fd7fc0bbf42da2f302bc18ea2638886550af255483fbfcd1f24b8
08822700,gnctechnology.co.uk,baseline,aa3fa081a61f5da1464c65451a53886cd29003fd996d4cf17ac43a674f2cfa09
08827604,atomit.co.uk,baseline,bb540ef002fd6392f61e97fcc99044f4d2260df537b9f4f8cd7149e0309141ca
09122489,cctinfotech.co.uk,baseline,e125f106b4bc6738e11317694353ff6cdabce9a657892ed0a9e0be2d3d9d348b
09809709,digitalxraid.com,baseline,efe22ec8f471a1d7e1f994c62474b72590b4c30681d0597e153488ea24ee6501
09934067,kstec.co.uk,candidate,27e15ec34f77bf0188ca29ac9d13060c53bd29eee167b06c2649e82f12bbd38b
10083589,bellsitsupport.co.uk,baseline,cde6879509210230e9b3dd85d976920ca7cf5336634db2577ceb53cf723ec032
10462025,liberateit.co.uk,baseline,e863bdd4f2ffc608850b40818b0b1bd776cb05677580b44a4e9f811aca5ee44c
11337306,kyteit.com,candidate,1fe6cfbe0f829eb55df5675566d7959e2a45c5e2da961abcc50e619dcf64b93c
12867678,forge-technologies.com,baseline,bf958d765645200d7f0348de3e521188d6093d132245c54cfe8bf73c4440df69
13272252,finch-ts.co.uk,baseline,aaea48df5044532a27f96d7eb23686e00aa90e70f62ca760b2e278cdff7badd2
14198567,ejnlabs.com,candidate,724be03aa6770433539a0d4451cd1929533db9fa08d55bb9958ba8dfa1b1062e
14717014,impelling.co.uk,candidate,943d52451f8e8478e482bbfdf8500435963bc0e494a36678313ab300efa1488d
14770744,ithalcyon.co.uk,candidate,8ac3556ba231b19a01862c04bb4e7d2248739d87ac4e3a0b8db407d4c1bb0cea
15874423,cirrusmsp.co.uk,candidate,4da878d758af450366e8c030e44e032d2f210eece2ca5b160360b1a5e31c3294
SC212586,itfoundations.com,baseline,b3d91adef681f486415637ca609434a3dcb149d84996120079dac0495fd6a31c
SC404950,meartechnology.co.uk,baseline,af7653785048d89bb8ea12407b01a5d469b8400b41ab8d4bd500b636b7310542
