company,domain,company_number,entity_status,named_current_officers,complexity_signals,covariate
Genesis IT,genesisit.co.uk,01923854,active,2,"4 incl Cyber Essentials, careers, case studies section, Sage/Pegasus specialisms",
Logic Business Systems,logic-ltd.co.uk,02059640,active,3,"6 incl Cyber Essentials Plus, Microsoft Partner, 5 vendor partnerships, 8 named case studies, wide sectors",
EC Computers,eccomputers.co.uk,02234380,active,2,"6 incl Cyber Essentials, named sectors, service tiers, 35+ years, 75% of clients 15+ years",
Care Computers,carecomputers.co.uk,02799021,active,2,"7 incl ISO 9001-2015, ISO 27001-2022, Cyber Essentials Plus, Microsoft Partner, Acronis Platinum, WatchGuard Gold, careers",
Inventas Business Solutions,inventas.co.uk,03500039,active,3,"7 incl Cyber Essentials Plus, Microsoft Partner, multiple offices, named sectors, SLA, vendor partnerships, 99.9% uptime",
Lucid Technology Solutions,lucidgrp.co.uk,03623613,active,4,"8 incl ISO 9001, ISO 27001, Microsoft Partner, 3 offices, 30+ years, vendor logos",
BCNS,bcns.co.uk,03754929,active,2,"6 incl Microsoft Partner, 24/7 support, multi-region coverage, careers, named sectors (education, charities), vendor partnerships",
Secon Cyber,seconcyber.com,03788567,active,2,"8 incl Cyber Essentials, ISO 27001, 24/7 SOC, named sectors, 20+ vendor partners, 25+ years, 3 country offices",
Internetwork Media,internetworkmedia.co.uk,04105259,active,2,"5 incl Cyber Essentials, named sectors (education, healthcare, public sector), vendor partner, compliance focus, proprietary product",
Lifeline IT,lifelineit.net,04346440,active,3,"9 incl Cyber Essentials Plus, Microsoft Gold, 3 offices",
Afinite,afinite.co.uk,04581730,active,1,"5 incl 3 case studies, named sectors, careers, 1000+ supported users, number and VAT published",
Confidence IT,confidenceit.co.uk,04697183,active,2,"6 incl ISO 27001, Cyber Essentials, Microsoft Partner, 24/7 monitoring",
Information Solutions,info-sol.co.uk,04798672,active,4,"6 incl Cyber Essentials, Microsoft Partner, vendor partnerships, careers, 20+ years, sister company",
Concept IT Services,concept-its.co.uk,05370595,active,3,"7 incl Cyber Essentials, ISO 27001 UKAS, ISO 9001 UKAS, NCSC Cyber Advisor, published SLA metrics, careers",
Breakwater IT,breakwaterit.co.uk,05401087,active,2,8,
Ilkley IT Services,ilkleyitservices.co.uk,05416115,active,2,"5 incl Cyber Essentials, careers, case studies, compliance centre, 4 towns, since 2005",
Munio,munio-it.co.uk,05589373,active,3,"8 incl Cyber Essentials Plus, ISO 27001, ISO 9001, 24/7 SOC and MDR, careers, 21+ years, 2000+ users protected",
EC2 IT Ltd,ec2it.co.uk,05994636,active,2,"5 incl Cyber Essentials, 24/7 helpdesk, 11 client testimonials",
Comprendo,comprendo.co.uk,06614786,active,2,"6 incl Microsoft Partner Network, Cyber Essentials, 24/7/365, 3 service tiers, named professional-services sectors, awards",
Everon,everon.co.uk,06619540,active,2,"5 incl 2 offices, named regulated sectors, compliance services, 4-step onboarding, named client testimonials",
Coordinate IT,coordinate-it.co.uk,06670422,active,2,"6 incl Cyber Essentials, Microsoft Partner, many vendor partnerships, wide named sectors, 60+ years combined",
Integrity Office,integrityoffice.co.uk,06698867,active,3,"6 incl Cyber Essentials, Microsoft Partner, Sophos Gold, 24/7 MDR, 2 offices (Carlisle, Annan), named clients",
Dynamic Networks Group,dynamicnetworksgroup.co.uk,06790995,active,2,"6 incl Cyber Essentials, multi-office, careers, 25+ years, case studies section",site_leadership_stale
IT.ally,itally.co.uk,06847794,active,1,"5 incl named sectors (finance, insurance, oil), 2 case studies, compliance/audit services, vendor range, 50 years combined",
Get Support IT Services,getsupport.co.uk,07003640,active,2,7,
Managed247,managed.co.uk,07019261,active,3,"9 incl ISO 27001, ISO 9001, ISO/IEC 20000-1, Cyber Essentials Plus, 24/7/365 desk, 4 UK offices, careers, 10 named sectors, NPS 94.1",
IQ in IT,iqinit.uk,07088567,active,2,"8 incl Cyber Essentials Certification Body, NCSC Certified Cyber Advisors, ISO 27001, Microsoft Partner, SOC tier, 5 offices, careers, published tiers",
Comis Technology,comistechnology.co.uk,07110528,active,3,"6 incl 6 case studies, 7 named clients, Microsoft Partner, 24/7, 11 vendor logos",
Inflection Point MSP,inflectionpoint.uk,07174303,active,2,"9 incl ISO 27001 UKAS, Cyber Essentials, Microsoft Solutions Partner, B Corp, 24/7, 13 cities, 200+ clients",
IT Support UK Ltd,itsupport-uk.com,07195974,active,2,"7 incl ISO 27001, Cyber Essentials, 24/7 helpdesk, 2 offices",
Integrity Technology Services NE,integritytechnology.co.uk,07415810,active,2,"7 incl Cyber Essentials, ISO 27001, 6 case studies, named sectors, monthly rolling contracts",
Dial A Geek,dialageek.co.uk,07550944,active,2,"10 incl Cyber Essentials, ISO 27001, IASME, B Corp, 13 case studies, published pricing tiers, 5 locations, 24/7 MDR, careers",
JamCrackers,jamcrackers.co.uk,07598261,active,2,"7 incl Cyber Essentials, Microsoft Partner, 4 named sectors, case studies, 90-day money-back guarantee, vendor partnerships, 6 named client testimonials",
LA NET,lanet.co.uk,07669403,active,2,"8 incl Cyber Essentials Plus, ISO 27001, ISO 9001, Microsoft Azure Solutions Partner, 24/7, 7 named case studies, public-sector and NHS clients",
Aztek,aztek.co.uk,07825941,active,2,"9 incl Cyber Essentials, ISO 27001 (NQA/UKAS), Microsoft Partner, 24/7, 5 named case studies, 8 sectors, careers, vendor partnerships",
Intouch Tech,intouchtech.co.uk,08052781,active,2,"10 incl Cyber Essentials Plus, ISO 27001:2022, Microsoft Solutions Partner, 24/7 SOC, 3 named case studies, careers, 1000+ clients",
Link ICT Services,linkict.co.uk,08142733,active,1,"6 incl Cyber Essentials, Microsoft/HP/Google/Clevertouch partners, 24/7, 3 named school case studies, education sector, 15+ years",
MBS IT,mbsit.co.uk,08176691,active,2,"6 incl Cyber Essentials, Microsoft Partner, 6 vendor partnerships, named sectors, 40+ client logos, 20+ years",
Galactech,galactech.co.uk,08306825,active,1,"5 incl Cyber Essentials/PCI-DSS/GDPR compliance services, Microsoft 365 partner, vendor logos, 100+ clients",
LB Tech Solutions,lbtechsolutions.co.uk,08385347,active,3,"8 incl Cyber Essentials, ISO 27001 context, 24/7 SOC tier, 3 offices, published pricing tiers, 40+ clients",
Mason Infotech,masoninfotech.co.uk,08606399,active,2,"5 incl named sectors, case studies, Microsoft partnership",
Circle Cloud,circlecloud.co.uk,08636719,active,3,"8 incl ISO 27001, Cyber Essentials, 24/7, 5-step onboarding, 100+ SMEs, 95% retention",
Mark1 IT Solutions,mark1its.co.uk,08642501,active,1,"5 incl Cyber Essentials, named client testimonials, vendor partnerships, managed service agreements, thought leadership",
Altiatech,altiatech.com,08754226,active,1,"8 incl ISO 27001, ISO 9001, Cyber Essentials, G-Cloud 14/15, 15 case studies, named sectors, multi-office",
GNC Technology,gnctechnology.co.uk,08822700,active,3,"6 incl Cyber Essentials Plus, ISO 27001, ISO 14001, SOC and NOC, named sectors, major named clients (AXA, Post Office, Walsall Council)",
Atom IT Solutions,atomit.co.uk,08827604,active,5,"5 incl named sectors (education/MATs), 24/7 monitoring, vendor partners, KCSIE compliance, 10+ services",
CCT Systems,cctinfotech.co.uk,09122489,active,1,"5 incl Cyber Essentials, Microsoft Accredited Partner, 24/7 emergency support, 3 case studies, 35+ years",recent_control_change
DigitalXRAID,digitalxraid.com,09809709,active,3,"11 incl Cyber Essentials, ISO 27001, CREST, CHECK, Microsoft Partner, 24/7 SOC, 16 case studies, 14+ sectors, careers",recent_multi_director_change
KSTEC Group,kstec.co.uk,09934067,active,1,"5 incl vendor partners (Microsoft, Azure, Cisco Meraki), named sectors, multi-site case, 20+ years",
Bells IT Support,bellsitsupport.co.uk,10083589,active,1,"5 incl 7 case studies, named sectors (care, dental, construction), 2 offices, compliance services",
Liberate IT Services,liberateit.co.uk,10462025,active,2,"7 incl Microsoft/ESET/3CX/Dell partners, 24/7 helpdesk, 5 locations, named sectors, case studies, published pricing",
Kyte IT,kyteit.com,11337306,active,1,"6 incl Cyber Essentials Plus, Microsoft Silver, Datto Silver, CompTIA Trustmark",
Forge Technologies,forge-technologies.com,12867678,active,3,"6 incl 3 ISO accreditations, Microsoft Partner, 24/7, named sectors, case study, careers",
Finch Technical Solutions,finch-ts.co.uk,13272252,active,2,"5 incl Cyber Essentials, named sectors (insurance brokers, law, manufacturing), 2 offices, vendor logos, 50 years combined",
EJN Labs,ejnlabs.com,14198567,active,1,"8 incl CREST, IASME Cyber Essentials certification body, ISO 27001, ISO 9001, Crown Commercial supplier, published pricing, 6 named sectors, case studies",
Impelling Managed Services,impelling.co.uk,14717014,active,3,"5 incl 4 named sectors, compliance services, 11 locations, money-back SLA, vCIO and co-managed tiers",recent_incorporation
Halcyon IT,ithalcyon.co.uk,14770744,active,2,"8 incl Cyber Essentials, Microsoft Partner, DBS checked, 24/7, 3 offices, 11 named sectors, published pricing, Acronis partner",
Cirrus MSP,cirrusmsp.co.uk,15874423,active,1,"8 incl 24/7 SOC, Cyber Essentials, published SLA metrics",recent_incorporation
IT Foundations,itfoundations.com,SC212586,active,2,"6 incl Cyber Essentials Plus, named sectors, 6-step onboarding, careers, 90-day guarantee, Living Wage Employer",scottish_registration
Mear Technology,meartechnology.co.uk,SC404950,active,1,"6 incl Cyber Essentials, 24/7 monitoring, 6 case studies, named sectors, vacancies page, vendor partnerships",scottish_registration
